Mushroom ID,Cap Shape,Cap Color,Gill Size,Stalk Shape,Habitat,Edibility,Market Demand,Spore Print Color,Population,Odor,Bruising,Ring Type,Stalk Surface Above Ring,Stalk Surface Below Ring,Stalk Color Above Ring,Stalk Color Below Ring,Veil Type,Veil Color,Growth Rate,Inspection Date,Incubation date,Temperature,Measurement
?,bell,yellow,broad,enlarging,leaves,edible,8,brown,numerous,almond,Yes,pendant,silky,silky,gray,pink,universal,yellow,4.471316648,1/2/2022,1/2/2022,18,C
14,bell,brown,narrow,enlarging,urban,poisonous,9,?,?,foul,?,pendant,silky,silky,white,gray,partial,?,1.1549021177749188,3/9/2023,3/2/2023,20,C
15,conical,?,narrow,enlarging,woods,edible,5,?,numerous,creosote,Yes,pendant,fibrous,fibrous,white,?,universal,white,2.1447280444388213,5/2/2023,5/2/2023,16,C
?,convex,brown,narrow,enlarging,urban,edible,3,yellow,solitary,creosote,No,evanescent,?,fibrous,brown,brown,partial,white,3.3921879592132576,2/11/2023,2/2/2023,13,C
17,flat,gray,broad,tapering,urban,?,10,orange,solitary,anise,?,pendant,smooth,fibrous,white,brown,partial,yellow,4.745231837210779,4/7/2022,4/3/2022,23,C
18,conical,brown,narrow,enlarging,urban,poisonous,1,brown,numerous,foul,Yes,pendant,?,smooth,brown,gray,?,brown,4.373511264,5/11/2020,5/5/2020,20,C
19,convex,red,broad,tapering,?,poisonous,3,black,solitary,anise,No,evanescent,scaly,smooth,pink,gray,universal,yellow,?,2/5/2023,2/5/2023,12,C
20,conical,brown,narrow,tapering,?,edible,10,brown,scattered,creosote,Yes,pendant,scaly,fibrous,orange,gray,partial,brown,2.8063828716712074,3/8/2023,3/1/2023,23,C
21,sunken,gray,narrow,tapering,?,edible,3,black,scattered,anise,No,evanescent,fibrous,?,brown,brown,partial,white,0.9721102450597429,4/10/2023,4/4/2023,21,C
22,convex,red,narrow,enlarging,urban,edible,4,orange,numerous,foul,Yes,pendant,silky,silky,orange,orange,partial,white,3.9783564690608615,3/7/2023,3/3/2023,1,C
23,?,brown,broad,?,urban,poisonous,4,black,?,?,Yes,evanescent,smooth,fibrous,pink,gray,universal,orange,1.6619120165090298,4/9/2023,4/1/2023,3,C
24,flat,yellow,narrow,enlarging,urban,edible,5,?,scattered,anise,Yes,flaring,silky,smooth,orange,pink,partial,yellow,1.5568343055337306,2/8/2023,2/5/2023,6,C
25,conical,brown,broad,enlarging,paths,poisonous,6,white,solitary,anise,?,evanescent,smooth,scaly,orange,gray,partial,brown,3.089211748,4/7/2023,4/1/2023,11,C
26,sunken,red,broad,enlarging,urban,edible,2,white,scattered,?,No,pendant,fibrous,?,white,brown,partial,?,?,2/7/2023,2/2/2023,26,C
27,convex,red,broad,tapering,woods,edible,2,yellow,solitary,foul,Yes,flaring,smooth,scaly,brown,gray,partial,yellow,1.5922072807712329,4/14/2023,4/5/2023,5,C
28,sunken,?,broad,?,grasses,poisonous,1,?,?,almond,Yes,flaring,?,fibrous,gray,brown,universal,brown,3.702939206,5/1/2023,5/1/2023,28,C
29,conical,brown,narrow,enlarging,grasses,poisonous,1,brown,several,almond,No,evanescent,fibrous,scaly,gray,brown,?,orange,4.534452788964868,2/4/2023,2/4/2023,3,C
30,conical,gray,?,enlarging,woods,poisonous,10,white,abundant,creosote,No,evanescent,silky,fibrous,white,brown,partial,yellow,?,3/4/2023,3/4/2023,11,C
31,conical,red,broad,enlarging,paths,edible,?,orange,numerous,almond,No,none,scaly,smooth,brown,pink,universal,orange,0.518327751,4/6/2023,4/1/2023,13,C
32,?,?,narrow,?,woods,edible,?,white,solitary,anise,Yes,flaring,scaly,silky,orange,pink,universal,white,11.5674536580889415,4/6/2022,4/1/2022,21,C
33,convex,white,narrow,enlarging,urban,edible,1,white,several,musty,No,none,scaly,smooth,gray,white,partial,yellow,3.143234817538799,3/7/2023,3/3/2023,4,C
34,conical,red,narrow,enlarging,grasses,?,6,orange,solitary,?,No,flaring,scaly,scaly,orange,white,universal,brown,3.2696443879661405,3/14/2023,3/5/2023,28,C
35,bell,?,?,enlarging,urban,poisonous,4,yellow,?,musty,Yes,evanescent,smooth,silky,pink,white,universal,white,4.910980688428414,2/2/2023,2/1/2023,23,C
36,bell,gray,narrow,enlarging,leaves,edible,1,brown,abundant,?,No,pendant,?,scaly,pink,?,partial,brown,4.323439490223686,1/10/2023,1/4/2023,0,C
37,sunken,yellow,broad,tapering,urban,poisonous,9,brown,several,musty,No,evanescent,smooth,?,?,pink,?,white,4.741876533,2/5/2023,2/3/2023,12,C
38,sunken,gray,narrow,enlarging,?,poisonous,9,?,abundant,creosote,Yes,?,?,scaly,white,white,universal,yellow,3.4406297557605914,1/9/2023,1/4/2023,25,C
39,bell,?,broad,tapering,?,?,7,brown,?,almond,Yes,pendant,smooth,silky,brown,orange,?,yellow,1.8373500780631007,1/1/2023,1/1/2023,2,C
40,conical,white,narrow,enlarging,paths,edible,9,black,solitary,?,Yes,pendant,smooth,silky,?,?,universal,orange,1.7451185837898269,4/12/2022,4/4/2022,2,C
41,?,white,narrow,tapering,grasses,?,5,black,abundant,almond,?,none,smooth,fibrous,gray,white,universal,white,2.5814966118183706,3/13/2023,3/5/2023,12,C
?,convex,gray,broad,enlarging,?,?,4,white,numerous,foul,No,pendant,scaly,smooth,white,white,universal,orange,4.552947762545689,4/10/2023,4/1/2023,25,C
43,bell,gray,broad,enlarging,urban,edible,1,white,abundant,almond,No,evanescent,silky,scaly,?,brown,universal,?,3.4675141545901442,3/5/2023,3/5/2023,9,C
44,convex,yellow,narrow,tapering,paths,?,3,yellow,solitary,?,Yes,none,smooth,silky,brown,gray,partial,orange,4.412967369704463,5/10/2022,5/2/2022,25,C
45,convex,gray,narrow,enlarging,urban,edible,2,orange,solitary,creosote,?,flaring,fibrous,fibrous,gray,orange,universal,brown,1.8936808760983275,1/6/2023,1/4/2023,5,C
?,conical,?,narrow,?,urban,poisonous,2,white,numerous,creosote,Yes,?,silky,?,pink,gray,partial,yellow,0.9964369857683446,5/8/2023,5/4/2023,9,C
?,conical,white,broad,enlarging,urban,poisonous,7,orange,abundant,musty,No,flaring,smooth,silky,pink,pink,partial,?,4.833548413175843,5/2/2023,5/1/2023,19,C
48,conical,yellow,broad,tapering,woods,poisonous,7,black,solitary,almond,No,flaring,fibrous,smooth,gray,white,partial,white,2.533547657083451,3/11/2023,3/3/2023,16,C
49,convex,yellow,broad,tapering,?,poisonous,8,brown,several,creosote,No,flaring,smooth,silky,gray,white,partial,?,3.1168867951282855,3/6/2023,3/1/2023,18,C
50,conical,white,broad,enlarging,paths,edible,4,yellow,several,?,Yes,flaring,smooth,?,white,orange,?,yellow,4.227525284637538,4/3/2023,4/2/2023,20,C
51,flat,yellow,narrow,tapering,paths,edible,3,brown,solitary,almond,No,evanescent,fibrous,fibrous,orange,orange,partial,yellow,3.8471780301421474,5/8/2023,5/2/2023,10,C
52,convex,gray,narrow,tapering,leaves,edible,10,yellow,solitary,almond,No,?,silky,scaly,brown,?,universal,orange,1.1094697507858737,1/8/2023,1/2/2023,5,C
?,conical,white,broad,tapering,urban,poisonous,1,black,several,almond,No,flaring,scaly,fibrous,brown,?,universal,white,3.381122834759447,2/13/2023,2/5/2023,25,C
54,conical,yellow,broad,tapering,?,edible,5,black,scattered,foul,Yes,flaring,scaly,smooth,pink,orange,?,yellow,4.668133575805419,4/8/2020,4/3/2020,19,C
55,convex,white,narrow,enlarging,leaves,poisonous,?,brown,solitary,musty,Yes,flaring,?,silky,orange,pink,partial,yellow,1.7816415983726432,2/8/2023,2/1/2023,4,C
56,bell,brown,broad,enlarging,woods,poisonous,8,white,?,anise,Yes,?,silky,silky,orange,gray,universal,yellow,10.5451681154946384,3/7/2023,3/2/2023,21,C
57,conical,gray,narrow,?,leaves,edible,6,black,solitary,anise,Yes,flaring,smooth,silky,white,white,partial,yellow,3.9586650880698904,1/4/2022,1/2/2022,13,C
58,flat,white,broad,tapering,woods,edible,10,brown,scattered,?,No,?,smooth,fibrous,white,white,partial,orange,4.236550689458505,2/2/2023,2/2/2023,25,C
59,bell,yellow,narrow,tapering,paths,edible,9,black,solitary,creosote,No,pendant,scaly,?,white,orange,universal,white,4.970814936281761,5/10/2023,5/1/2023,5,C
60,flat,brown,broad,enlarging,grasses,?,?,brown,several,foul,Yes,pendant,smooth,scaly,brown,white,partial,orange,0.9910632752043134,2/10/2023,2/5/2023,7,C
61,?,gray,broad,enlarging,grasses,poisonous,8,?,numerous,foul,No,pendant,scaly,?,orange,?,universal,yellow,?,4/10/2023,4/3/2023,27,C
62,flat,gray,narrow,tapering,urban,edible,6,white,solitary,almond,Yes,pendant,smooth,fibrous,brown,orange,partial,white,4.715072416525295,4/4/2023,4/1/2023,19,C
63,conical,red,narrow,enlarging,leaves,poisonous,10,orange,abundant,almond,Yes,?,smooth,fibrous,pink,brown,?,white,3.8013164078147708,4/10/2023,4/4/2023,21,C
?,flat,yellow,broad,tapering,leaves,edible,3,white,several,almond,?,flaring,scaly,scaly,brown,?,universal,yellow,1.6226854326871893,3/5/2023,3/3/2023,25,C
65,bell,gray,narrow,enlarging,leaves,?,2,yellow,abundant,?,No,?,fibrous,scaly,white,?,partial,orange,3.1088258432981917,3/7/2023,3/1/2023,25,C
66,?,?,broad,enlarging,?,poisonous,3,yellow,solitary,musty,No,evanescent,scaly,silky,white,pink,partial,orange,4.638214344674845,5/8/2023,5/2/2023,1,C
67,flat,white,broad,enlarging,grasses,?,10,orange,numerous,anise,?,?,fibrous,fibrous,gray,pink,universal,yellow,1.4418408620659786,3/9/2023,3/1/2023,19,C
68,flat,yellow,broad,enlarging,?,edible,10,brown,solitary,musty,No,flaring,silky,smooth,?,white,universal,white,3.250507562017151,5/13/2023,5/4/2023,25,C
?,conical,?,broad,enlarging,grasses,poisonous,7,white,numerous,anise,?,flaring,fibrous,fibrous,brown,gray,partial,orange,1.9822542130695386,4/2/2023,4/1/2023,11,C
70,conical,gray,broad,enlarging,woods,edible,5,yellow,?,foul,No,none,?,smooth,brown,gray,partial,orange,3.3200359557996455,1/11/2022,1/2/2022,22,C
71,flat,gray,broad,enlarging,urban,?,3,white,scattered,almond,No,none,smooth,?,gray,pink,partial,?,3.697873014,1/4/2023,1/2/2023,22,C
72,sunken,gray,narrow,enlarging,leaves,edible,7,orange,solitary,almond,Yes,evanescent,scaly,smooth,?,pink,partial,brown,3.0546130041291906,5/7/2023,5/1/2023,5,C
73,?,gray,?,enlarging,paths,edible,1,black,solitary,almond,Yes,evanescent,?,silky,white,?,partial,orange,0.7438557973450088,1/8/2020,1/4/2020,12,C
74,bell,gray,narrow,enlarging,leaves,poisonous,4,?,numerous,anise,?,flaring,silky,silky,white,white,partial,brown,4.155687326393018,1/11/2022,1/2/2022,26,C
?,conical,gray,?,tapering,woods,edible,?,orange,?,anise,No,evanescent,scaly,silky,orange,orange,partial,white,3.6681924575766334,4/5/2023,4/1/2023,14,C
76,sunken,gray,?,?,?,poisonous,7,black,abundant,anise,No,pendant,silky,smooth,gray,pink,universal,white,3.075357551482089,5/12/2020,5/4/2020,28,C
77,sunken,white,narrow,enlarging,woods,edible,?,yellow,solitary,musty,?,none,silky,fibrous,brown,orange,partial,yellow,2.4313698421227494,1/1/2023,1/1/2023,3,C
78,?,white,broad,tapering,leaves,?,1,yellow,scattered,?,No,none,smooth,scaly,?,pink,universal,brown,2.7782670248137724,5/6/2023,5/2/2023,25,C
79,bell,white,narrow,enlarging,leaves,?,3,brown,several,almond,?,pendant,?,silky,white,white,partial,brown,?,3/8/2023,3/4/2023,17,C
80,conical,gray,narrow,enlarging,urban,edible,8,black,?,creosote,Yes,flaring,fibrous,silky,white,gray,universal,white,2.7832241460939904,3/1/2023,3/1/2023,5,C
81,conical,yellow,broad,enlarging,urban,poisonous,6,white,numerous,almond,No,none,silky,silky,?,pink,partial,white,1.5033574934951788,5/7/2023,5/3/2023,2,C
82,bell,red,narrow,enlarging,leaves,edible,6,white,abundant,anise,No,none,silky,scaly,orange,orange,partial,brown,3.5236899125274763,5/11/2023,5/5/2023,26,C
83,flat,yellow,narrow,enlarging,leaves,edible,9,yellow,scattered,almond,No,pendant,smooth,silky,orange,pink,universal,orange,1.9843955030655764,5/4/2021,5/2/2021,13,C
84,sunken,yellow,narrow,tapering,urban,poisonous,3,white,scattered,creosote,Yes,evanescent,scaly,smooth,?,pink,partial,orange,3.4969691927582036,5/8/2023,5/4/2023,10,C
85,convex,yellow,broad,enlarging,grasses,poisonous,2,brown,abundant,?,Yes,none,smooth,fibrous,gray,pink,universal,yellow,4.088156945889725,3/9/2023,3/5/2023,9,C
86,convex,yellow,broad,tapering,urban,edible,5,white,numerous,creosote,?,pendant,smooth,?,brown,orange,universal,orange,0.8241951294457541,3/7/2023,3/1/2023,20,F
87,flat,?,broad,enlarging,urban,poisonous,8,?,scattered,almond,No,none,silky,smooth,brown,?,universal,brown,2.6462810402223043,3/7/2023,3/5/2023,1,F
88,conical,yellow,narrow,tapering,leaves,poisonous,8,orange,several,foul,Yes,evanescent,?,scaly,white,orange,universal,brown,1.8924351482241504,2/9/2023,2/5/2023,12,F
89,conical,red,narrow,enlarging,urban,poisonous,1,orange,abundant,foul,No,flaring,?,scaly,?,white,universal,yellow,4.207150690118699,4/13/2023,4/5/2023,0,F
90,bell,white,?,enlarging,leaves,edible,10,brown,abundant,foul,No,none,silky,scaly,brown,?,universal,yellow,4.959421407,5/10/2023,5/3/2023,15,F
91,sunken,gray,narrow,enlarging,grasses,poisonous,3,black,?,creosote,?,pendant,scaly,scaly,white,brown,universal,yellow,?,5/7/2022,5/2/2022,23,F
92,convex,red,broad,tapering,grasses,poisonous,?,black,scattered,anise,No,none,fibrous,smooth,pink,gray,universal,brown,2.699625695381591,4/4/2023,4/3/2023,17,F
93,flat,gray,broad,tapering,paths,edible,?,brown,numerous,?,Yes,pendant,fibrous,scaly,orange,?,?,white,4.798603073659588,3/2/2023,3/1/2023,6,F
94,convex,white,broad,tapering,urban,poisonous,2,yellow,numerous,creosote,Yes,flaring,smooth,silky,white,gray,partial,brown,1.4473215919401592,1/9/2023,1/2/2023,2,F
95,sunken,white,broad,tapering,urban,edible,2,yellow,scattered,foul,Yes,none,fibrous,scaly,pink,orange,partial,?,4.982354130542691,1/7/2021,1/2/2021,25,F
96,bell,yellow,?,tapering,grasses,poisonous,6,white,?,almond,Yes,evanescent,silky,silky,brown,orange,universal,yellow,3.434696335454716,1/4/2021,1/2/2021,1,F
97,flat,gray,broad,tapering,leaves,poisonous,3,black,abundant,creosote,No,none,silky,silky,pink,gray,universal,yellow,0.9403775753726544,2/8/2023,2/2/2023,12,F
98,bell,yellow,broad,enlarging,?,poisonous,4,brown,numerous,anise,Yes,none,fibrous,scaly,white,white,universal,yellow,3.5901873505181676,5/9/2021,5/2/2021,24,F
?,bell,gray,broad,enlarging,?,?,?,white,several,anise,Yes,pendant,smooth,silky,brown,orange,?,white,2.596868947860693,3/8/2023,3/4/2023,22,F
100,flat,brown,narrow,enlarging,paths,edible,1,?,?,?,Yes,evanescent,smooth,smooth,orange,orange,partial,brown,4.807856986,2/13/2022,2/5/2022,16,F
101,flat,red,narrow,tapering,urban,poisonous,3,brown,numerous,?,No,evanescent,fibrous,smooth,orange,white,partial,yellow,0.9226374474221943,1/9/2023,1/4/2023,11,F
102,flat,gray,narrow,tapering,woods,poisonous,4,?,scattered,anise,No,flaring,?,smooth,?,gray,partial,white,4.645426408107354,1/5/2023,1/4/2023,2,F
103,bell,white,narrow,enlarging,?,edible,7,brown,numerous,creosote,Yes,pendant,smooth,silky,pink,brown,universal,orange,3.365694369148188,2/8/2023,2/4/2023,24,F
104,convex,red,broad,enlarging,grasses,poisonous,3,brown,abundant,foul,No,flaring,scaly,silky,brown,brown,partial,?,1.3698733182502034,3/12/2023,3/5/2023,15,F
105,convex,gray,broad,tapering,grasses,poisonous,2,black,solitary,almond,No,flaring,scaly,smooth,pink,brown,partial,yellow,3.459150214604532,3/9/2023,3/2/2023,24,F
106,convex,brown,narrow,tapering,paths,poisonous,10,brown,scattered,almond,Yes,pendant,scaly,smooth,orange,white,universal,brown,3.3886338198101624,5/1/2023,5/1/2023,11,F
?,bell,yellow,broad,tapering,woods,edible,?,brown,several,musty,No,pendant,smooth,fibrous,white,brown,universal,white,21.5117632129317737,1/12/2023,1/5/2023,12,F
108,flat,?,?,tapering,paths,?,2,white,numerous,?,Yes,flaring,smooth,fibrous,pink,orange,partial,white,2.7853748009033996,1/3/2023,1/1/2023,15,F
109,convex,?,broad,enlarging,woods,?,6,orange,several,creosote,No,evanescent,fibrous,silky,orange,brown,partial,brown,1.4806040282962387,5/4/2023,5/1/2023,8,F
110,?,red,broad,?,paths,edible,9,white,scattered,?,Yes,pendant,smooth,scaly,orange,pink,universal,orange,3.127406963745131,5/6/2023,5/4/2023,21,F
111,bell,yellow,broad,?,leaves,edible,2,brown,abundant,almond,Yes,pendant,fibrous,fibrous,gray,pink,partial,white,1.1687550124404065,5/3/2023,5/3/2023,6,F
112,flat,gray,narrow,tapering,leaves,?,9,white,solitary,creosote,Yes,none,fibrous,silky,pink,gray,partial,brown,1.3881706574539425,3/2/2023,3/1/2023,28,F
113,flat,red,?,tapering,urban,edible,10,orange,numerous,foul,Yes,evanescent,silky,silky,pink,white,partial,orange,3.7021970916891243,1/7/2023,1/3/2023,24,F
114,bell,gray,narrow,enlarging,paths,poisonous,8,brown,several,anise,Yes,pendant,smooth,silky,pink,gray,partial,orange,1.9469607790659766,2/7/2023,2/2/2023,18,F
115,convex,yellow,broad,enlarging,leaves,edible,1,black,scattered,creosote,Yes,none,smooth,scaly,brown,gray,partial,orange,0.5614431803176805,2/11/2023,2/2/2023,23,C
?,convex,gray,narrow,enlarging,urban,edible,6,black,solitary,foul,No,?,scaly,scaly,white,pink,universal,orange,4.568854923180542,4/10/2023,4/4/2023,26,F
117,bell,brown,?,tapering,woods,?,10,white,abundant,anise,Yes,pendant,scaly,scaly,white,brown,universal,white,?,1/14/2022,1/5/2022,23,C
118,conical,yellow,broad,tapering,woods,edible,?,brown,solitary,creosote,No,flaring,silky,smooth,white,orange,universal,white,3.145408692,2/4/2023,2/2/2023,27,C
119,conical,gray,broad,enlarging,woods,poisonous,?,orange,scattered,anise,Yes,none,silky,silky,gray,orange,partial,orange,2.030304015312576,1/2/2023,1/2/2023,12,C
120,conical,?,narrow,tapering,grasses,poisonous,2,yellow,abundant,creosote,Yes,pendant,silky,scaly,?,pink,universal,?,4.7927088811581235,1/2/2023,1/1/2023,2,C
121,?,yellow,broad,enlarging,paths,edible,2,orange,several,musty,Yes,flaring,silky,scaly,white,brown,universal,white,1.9986379747802803,4/10/2023,4/3/2023,22,C
122,bell,white,narrow,tapering,urban,edible,9,yellow,solitary,foul,No,none,?,smooth,gray,brown,partial,white,3.946223916072258,3/7/2023,3/5/2023,1,C
123,conical,red,broad,enlarging,grasses,edible,7,orange,several,almond,No,pendant,silky,silky,white,white,universal,brown,3.7762043576150517,3/9/2023,3/4/2023,16,C
?,sunken,?,narrow,tapering,paths,?,4,yellow,solitary,?,Yes,flaring,fibrous,scaly,white,gray,?,yellow,1.508937432553564,5/8/2023,5/1/2023,24,C
125,conical,gray,broad,tapering,paths,?,9,black,scattered,foul,No,evanescent,smooth,smooth,pink,white,?,yellow,3.942406862963375,5/7/2023,5/1/2023,28,C
126,conical,red,narrow,enlarging,paths,edible,6,black,solitary,musty,?,evanescent,smooth,fibrous,white,gray,partial,yellow,4.8290238315023535,1/8/2023,1/3/2023,22,C
127,flat,yellow,broad,tapering,paths,edible,6,yellow,scattered,anise,Yes,?,fibrous,fibrous,pink,white,partial,brown,4.683634882391443,5/5/2023,5/4/2023,19,C
128,bell,yellow,broad,enlarging,grasses,poisonous,9,white,several,anise,No,flaring,silky,fibrous,white,brown,partial,yellow,3.5751951083930744,4/10/2020,4/3/2020,6,C
129,bell,gray,narrow,tapering,urban,edible,9,brown,numerous,creosote,No,pendant,silky,scaly,pink,white,universal,brown,2.266645795984376,3/6/2023,3/5/2023,15,C
130,sunken,white,narrow,enlarging,leaves,poisonous,?,yellow,abundant,almond,Yes,?,silky,silky,brown,orange,partial,orange,1.3800534696414997,3/11/2023,3/2/2023,27,C
131,conical,gray,?,?,leaves,poisonous,10,white,?,anise,No,evanescent,?,smooth,gray,?,partial,yellow,2.5637033922263828,4/3/2023,4/1/2023,17,C
132,convex,yellow,broad,tapering,urban,poisonous,6,orange,numerous,foul,No,?,smooth,fibrous,orange,pink,partial,white,1.9110288815543117,3/8/2023,3/5/2023,2,C
133,convex,yellow,broad,tapering,leaves,edible,?,yellow,numerous,anise,Yes,flaring,fibrous,scaly,gray,white,universal,yellow,3.5193729042947917,1/7/2023,1/2/2023,18,C
?,sunken,gray,broad,enlarging,?,poisonous,8,black,abundant,foul,No,none,scaly,fibrous,?,gray,universal,brown,1.9895655076196725,3/14/2023,3/5/2023,13,C
135,flat,white,narrow,tapering,?,edible,8,brown,?,foul,No,flaring,silky,smooth,orange,pink,partial,white,1.0349651223521354,5/12/2023,5/5/2023,14,C
136,conical,red,broad,enlarging,paths,poisonous,3,black,several,almond,Yes,pendant,smooth,smooth,orange,gray,partial,brown,3.3038102278650285,4/10/2023,4/2/2023,8,C
137,?,red,broad,?,urban,edible,2,orange,several,musty,Yes,none,?,silky,gray,pink,?,orange,?,1/8/2020,1/4/2020,4,C
138,conical,red,?,tapering,?,edible,7,orange,scattered,?,Yes,flaring,smooth,?,white,brown,partial,?,3.1740598835414175,3/9/2023,3/1/2023,23,C
139,conical,?,broad,tapering,?,edible,9,?,solitary,foul,No,flaring,smooth,fibrous,brown,brown,universal,brown,0.7413354504681047,1/13/2023,1/4/2023,4,F
140,sunken,brown,broad,tapering,grasses,?,9,black,solitary,foul,?,evanescent,smooth,fibrous,brown,orange,partial,white,1.1284434486821673,5/4/2022,5/2/2022,12,C
141,conical,brown,narrow,enlarging,grasses,?,1,orange,several,creosote,Yes,pendant,silky,smooth,?,orange,partial,white,1.0758151308111983,2/4/2023,2/4/2023,3,F
?,conical,brown,broad,?,urban,edible,?,white,several,foul,Yes,flaring,fibrous,silky,white,?,universal,white,1.7052724299529292,4/4/2023,4/2/2023,25,C
143,convex,brown,broad,enlarging,urban,edible,6,brown,abundant,anise,Yes,none,fibrous,fibrous,orange,gray,partial,white,2.692844877665971,1/12/2023,1/4/2023,10,C
?,bell,brown,broad,tapering,paths,edible,4,?,several,anise,Yes,pendant,silky,smooth,gray,pink,partial,orange,1.8140863620300895,4/11/2023,4/2/2023,21,C
?,conical,brown,narrow,enlarging,leaves,poisonous,8,white,?,creosote,Yes,flaring,silky,?,white,orange,partial,brown,4.064947893885403,3/4/2023,3/4/2023,25,C
146,bell,white,narrow,enlarging,grasses,edible,9,brown,several,almond,Yes,none,smooth,smooth,white,?,universal,orange,1.9838265216949162,4/9/2023,4/3/2023,9,C
147,flat,brown,broad,enlarging,grasses,edible,10,white,scattered,musty,?,pendant,?,smooth,orange,?,universal,?,0.6502092229814843,2/7/2023,2/4/2023,15,C
148,conical,white,narrow,tapering,urban,?,?,black,?,foul,Yes,pendant,silky,fibrous,white,gray,universal,orange,1.593615429,4/6/2023,4/3/2023,9,C
149,convex,?,?,tapering,urban,edible,2,?,several,?,No,none,?,fibrous,orange,pink,universal,brown,?,4/13/2022,4/4/2022,28,C
?,flat,yellow,broad,?,woods,edible,9,brown,numerous,musty,Yes,none,fibrous,scaly,gray,gray,universal,white,2.156650014601977,4/4/2023,4/3/2023,16,C
151,?,yellow,narrow,enlarging,paths,edible,7,yellow,abundant,foul,?,flaring,silky,smooth,gray,gray,?,yellow,3.626873150703911,1/14/2023,1/5/2023,4,C
?,convex,yellow,broad,enlarging,leaves,poisonous,10,white,solitary,musty,Yes,none,scaly,scaly,gray,?,partial,orange,?,5/11/2023,5/3/2023,22,C
153,sunken,white,narrow,tapering,grasses,poisonous,3,black,scattered,creosote,Yes,evanescent,smooth,fibrous,gray,white,universal,white,0.6885574132920165,3/9/2023,3/3/2023,25,C
154,convex,brown,narrow,?,paths,edible,9,brown,scattered,musty,No,?,silky,smooth,gray,brown,universal,yellow,4.918808029365422,2/3/2023,2/2/2023,4,C
155,bell,white,broad,tapering,woods,poisonous,10,brown,?,creosote,?,flaring,silky,smooth,?,?,universal,yellow,0.6653653285227362,4/10/2023,4/1/2023,2,C
156,bell,red,broad,enlarging,paths,edible,8,yellow,scattered,foul,Yes,none,silky,silky,orange,?,partial,orange,2.349829707376343,2/2/2021,2/1/2021,19,C
157,convex,white,narrow,tapering,grasses,edible,3,yellow,numerous,foul,Yes,pendant,fibrous,smooth,pink,gray,partial,orange,2.616185774144858,5/8/2023,5/4/2023,17,C
158,bell,red,narrow,tapering,urban,edible,9,white,numerous,almond,Yes,evanescent,fibrous,fibrous,?,gray,universal,yellow,0.8313930658662846,4/8/2023,4/2/2023,24,C
159,flat,gray,narrow,tapering,paths,?,5,orange,?,anise,No,evanescent,scaly,fibrous,orange,white,universal,yellow,2.3814349761954516,5/9/2023,5/4/2023,15,C
160,bell,gray,broad,?,leaves,poisonous,6,orange,solitary,musty,Yes,flaring,?,smooth,pink,white,partial,brown,1.8912565275625157,4/2/2023,4/1/2023,10,C
161,conical,white,broad,enlarging,grasses,edible,5,white,several,almond,Yes,none,fibrous,smooth,gray,?,universal,yellow,4.716580191255095,3/7/2023,3/5/2023,23,C
